"file","caption","category","png_time"
"C:/Users/pc/Desktop/Vermilion_Snapper_MSE_git/one_plus/initial_pop/plots/sel11_timevary_surf_flt1sex1.png","Time-varying selectivity for CM_E","Sel",2019-10-21 10:53:22
"C:/Users/pc/Desktop/Vermilion_Snapper_MSE_git/one_plus/initial_pop/plots/sel12_timevary_contour_flt1sex1.png","Time-varying selectivity for CM_E","Sel",2019-10-21 10:53:22
"C:/Users/pc/Desktop/Vermilion_Snapper_MSE_git/one_plus/initial_pop/plots/sel13_age_flt1sex1.png","Ending year selectivity for CM_E","Sel",2019-10-21 10:53:22
"C:/Users/pc/Desktop/Vermilion_Snapper_MSE_git/one_plus/initial_pop/plots/sel11_timevary_surf_flt2sex1.png","Time-varying selectivity for CM_W","Sel",2019-10-21 10:53:22
"C:/Users/pc/Desktop/Vermilion_Snapper_MSE_git/one_plus/initial_pop/plots/sel12_timevary_contour_flt2sex1.png","Time-varying selectivity for CM_W","Sel",2019-10-21 10:53:22
"C:/Users/pc/Desktop/Vermilion_Snapper_MSE_git/one_plus/initial_pop/plots/sel13_age_flt2sex1.png","Ending year selectivity for CM_W","Sel",2019-10-21 10:53:22
"C:/Users/pc/Desktop/Vermilion_Snapper_MSE_git/one_plus/initial_pop/plots/sel14_age_flt3sex1.png","Ending year selectivity for REC","Sel",2019-10-21 10:53:22
"C:/Users/pc/Desktop/Vermilion_Snapper_MSE_git/one_plus/initial_pop/plots/sel14_age_flt4sex1.png","Ending year selectivity for SMP_BYC","Sel",2019-10-21 10:53:22
"C:/Users/pc/Desktop/Vermilion_Snapper_MSE_git/one_plus/initial_pop/plots/sel14_age_flt6sex1.png","Ending year selectivity for HB_E","Sel",2019-10-21 10:53:22
"C:/Users/pc/Desktop/Vermilion_Snapper_MSE_git/one_plus/initial_pop/plots/sel14_age_flt7sex1.png","Ending year selectivity for HB_W","Sel",2019-10-21 10:53:22
"C:/Users/pc/Desktop/Vermilion_Snapper_MSE_git/one_plus/initial_pop/plots/sel11_timevary_surf_flt8sex1.png","Time-varying selectivity for CM_E_IFQ","Sel",2019-10-21 10:53:22
"C:/Users/pc/Desktop/Vermilion_Snapper_MSE_git/one_plus/initial_pop/plots/sel12_timevary_contour_flt8sex1.png","Time-varying selectivity for CM_E_IFQ","Sel",2019-10-21 10:53:22
"C:/Users/pc/Desktop/Vermilion_Snapper_MSE_git/one_plus/initial_pop/plots/sel13_age_flt8sex1.png","Ending year selectivity for CM_E_IFQ","Sel",2019-10-21 10:53:22
"C:/Users/pc/Desktop/Vermilion_Snapper_MSE_git/one_plus/initial_pop/plots/sel11_timevary_surf_flt9sex1.png","Time-varying selectivity for CM_W_IFQ","Sel",2019-10-21 10:53:22
"C:/Users/pc/Desktop/Vermilion_Snapper_MSE_git/one_plus/initial_pop/plots/sel12_timevary_contour_flt9sex1.png","Time-varying selectivity for CM_W_IFQ","Sel",2019-10-21 10:53:22
"C:/Users/pc/Desktop/Vermilion_Snapper_MSE_git/one_plus/initial_pop/plots/sel13_age_flt9sex1.png","Ending year selectivity for CM_W_IFQ","Sel",2019-10-21 10:53:22
"C:/Users/pc/Desktop/Vermilion_Snapper_MSE_git/one_plus/initial_pop/plots/sel21_agelen_contour_flt11sex1.png","Ending year selectivity and growth for VIDEO","Sel",2019-10-21 10:53:22
"C:/Users/pc/Desktop/Vermilion_Snapper_MSE_git/one_plus/initial_pop/plots/sel21_agelen_contour_flt12sex1.png","Ending year selectivity and growth for SEAMAP","Sel",2019-10-21 10:53:22
"C:/Users/pc/Desktop/Vermilion_Snapper_MSE_git/one_plus/initial_pop/plots/ts1_Total_biomass_(mt).png","Total biomass (mt)","Timeseries",2019-10-21 10:53:22
"C:/Users/pc/Desktop/Vermilion_Snapper_MSE_git/one_plus/initial_pop/plots/ts4_Summary_biomass_(mt).png","Summary biomass (mt)","Timeseries",2019-10-21 10:53:22
"C:/Users/pc/Desktop/Vermilion_Snapper_MSE_git/one_plus/initial_pop/plots/ts7_Spawning_output.png","Spawning output","Timeseries",2019-10-21 10:53:22
"C:/Users/pc/Desktop/Vermilion_Snapper_MSE_git/one_plus/initial_pop/plots/ts7_Spawning_output_with_95_asymptotic_intervals_intervals.png","Spawning output with ~95% asymptotic intervals","Timeseries",2019-10-21 10:53:22
"C:/Users/pc/Desktop/Vermilion_Snapper_MSE_git/one_plus/initial_pop/plots/ts9_Spawning_depletion.png","Spawning depletion","Timeseries",2019-10-21 10:53:22
"C:/Users/pc/Desktop/Vermilion_Snapper_MSE_git/one_plus/initial_pop/plots/ts9_Spawning_depletion_with_95_asymptotic_intervals_intervals.png","Spawning depletion with ~95% asymptotic intervals","Timeseries",2019-10-21 10:53:22
"C:/Users/pc/Desktop/Vermilion_Snapper_MSE_git/one_plus/initial_pop/plots/ts11_Age-0_recruits_(1000s).png","Age-0 recruits (1,000s)","Timeseries",2019-10-21 10:53:22
"C:/Users/pc/Desktop/Vermilion_Snapper_MSE_git/one_plus/initial_pop/plots/ts11_Age-0_recruits_(1000s)_with_95_asymptotic_intervals.png","Age-0 recruits (1,000s) with ~95% asymptotic intervals","Timeseries",2019-10-21 10:53:22
"C:/Users/pc/Desktop/Vermilion_Snapper_MSE_git/one_plus/initial_pop/plots//ts_summaryF.png","Summary F (definition of F depends on setting in starter.ss)","Timeseries",2019-10-21 10:53:22
"C:/Users/pc/Desktop/Vermilion_Snapper_MSE_git/one_plus/initial_pop/plots//recdevs1_points.png","Recruitment deviations","RecDev",2019-10-21 10:53:22
"C:/Users/pc/Desktop/Vermilion_Snapper_MSE_git/one_plus/initial_pop/plots//recdevs2_withbars.png","Recruitment deviations with 95% intervals","RecDev",2019-10-21 10:53:22
"C:/Users/pc/Desktop/Vermilion_Snapper_MSE_git/one_plus/initial_pop/plots//recdevs3_varcheck.png","Recruitment deviations variance check.<br> See later figure of transformed variance values for comparison with bias adjustment settings in the model.","RecDev",2019-10-21 10:53:22
